GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,PRETRACTA,TRACTA,POSTTRCTA,AREANAME,GNOTES,BK6001,BLG001,BLH001,BLI001,BLI002,BLI003,BLI004,BLI005,BLJ001,BLJ002,BLJ003,BLJ004,BLJ005,BLJ006,BLJ007,BLJ008,BLJ009,BLJ010,BLJ011,BLJ012,BLJ013,BLJ014,BLJ015,BLK001,BLK002,BLK003,BLK004,BLK005,BLK006,BLK007,BLK008,BLK009,BLK010,BLK011,BLK012,BLL001,BLM001,BLM002,BLM003,BLN001,BLN002,BLN003,BLN004,BLN005,BLN006,BLN007,BLN008,BLN009,BLN010,BLN011,BK7001,BK7002,BK7003,BK7004,BK7005,BK7006,BK7007,BK7008,BK7009,BK7010,BK7011,BK8001,BLA001,BLB001,BLB002,BLB003,BLC001,BLD001,BLE001,BLE002,BLE003,BLE004,BLE005,BLE006
"G3900350CC0028","1930","Ohio","39","Cuyahoga","035","CC","0028",,"Tract  CC0028     in Cleveland OH Area",,308,305,210,137,73,95,3,0,46,6,14,2,2,0,4,3,0,1,0,0,3,8,6,17,74,75,83,35,15,5,3,1,0,0,0,308,172,133,3,0,0,0,1,4,12,13,34,10,98,0,0,0,0,8,65,49,3,1,3,4,0,308,270,248,14,8,2,30,0,0,0,1,0,1
"G3900350CC0029","1930","Ohio","39","Cuyahoga","035","CC","0029",,"Tract  CC0029     in Cleveland OH Area",,157,155,117,63,54,38,2,0,2,2,5,14,4,0,1,0,1,0,2,0,7,0,0,13,36,40,26,16,7,12,3,3,0,0,1,157,106,49,2,4,5,3,14,20,16,2,4,2,1,35,1,7,8,12,10,2,0,0,0,0,9,157,147,140,5,2,0,0,0,0,0,0,0,0
"G3900350CC0030","1930","Ohio","39","Cuyahoga","035","CC","0030",,"Tract  CC0030     in Cleveland OH Area",,106,106,80,40,40,26,0,0,1,0,7,0,6,1,0,2,0,2,0,0,2,4,1,6,27,16,21,20,7,5,2,0,0,2,0,106,69,36,1,0,1,1,2,10,10,6,8,7,11,13,0,3,0,13,12,1,0,0,0,0,7,106,105,104,1,0,0,0,0,0,0,0,0,0
"G3900350CC0031","1930","Ohio","39","Cuyahoga","035","CC","0031",,"Tract  CC0031     in Cleveland OH Area",,469,469,335,194,141,134,0,0,51,2,22,2,3,2,4,1,2,2,4,0,8,13,18,6,97,100,113,75,44,21,8,3,2,0,0,469,337,131,1,1,2,5,7,39,92,94,55,9,20,13,1,0,2,16,56,41,3,1,1,2,8,469,467,465,2,0,1,5,0,0,0,0,0,1
"G3900350CC0032","1930","Ohio","39","Cuyahoga","035","CC","0032",,"Tract  CC0032     in Cleveland OH Area",,614,612,402,230,172,210,2,0,36,2,32,1,5,2,7,2,4,0,2,0,74,12,31,13,133,149,151,87,35,28,12,4,1,1,0,614,396,204,14,1,3,0,20,41,122,115,57,6,14,17,0,3,8,26,63,69,5,2,0,0,28,614,565,519,43,3,0,0,0,0,0,0,0,0
"G3900350CC0033","1930","Ohio","39","Cuyahoga","035","CC","0033",,"Tract  CC0033     in Cleveland OH Area",,483,481,340,196,144,141,0,2,31,0,18,1,2,2,0,1,2,0,2,1,49,11,21,11,116,138,89,63,29,15,8,8,4,1,1,483,308,174,1,0,0,0,1,18,34,113,92,24,24,2,0,1,3,17,42,96,8,3,0,1,3,483,429,390,33,6,3,183,0,0,1,2,0,0
"G3900350CC0034","1930","Ohio","39","Cuyahoga","035","CC","0034",,"Tract  CC0034     in Cleveland OH Area",,490,489,369,189,180,120,1,0,22,2,19,0,22,8,1,1,7,1,3,1,14,9,10,6,98,144,119,67,27,21,2,2,3,1,0,490,421,69,0,1,1,0,1,5,23,33,270,57,26,4,0,0,0,3,9,26,26,4,0,0,1,490,482,474,8,0,1,346,0,0,0,1,0,0
"G3900350CC0035","1930","Ohio","39","Cuyahoga","035","CC","0035",,"Tract  CC0035     in Cleveland OH Area",,60,59,50,21,29,9,1,0,2,0,3,0,2,0,0,0,0,0,2,0,0,0,0,1,13,12,18,7,7,1,1,0,0,0,0,60,30,30,0,1,1,0,1,2,6,2,11,3,2,1,0,1,0,6,17,4,1,1,0,0,0,60,57,54,3,0,1,14,0,0,0,0,0,1
"G3900350CC0037","1930","Ohio","39","Cuyahoga","035","CC","0037",,"Tract  CC0037     in Cleveland OH Area",,208,203,116,56,60,87,5,0,12,0,5,1,7,18,5,21,0,0,1,0,14,2,1,9,49,44,34,27,14,16,1,4,5,2,3,208,144,51,13,0,4,5,16,35,40,11,16,2,5,10,0,4,5,22,17,1,1,0,0,0,1,208,197,186,11,0,0,0,0,0,0,0,0,0
"G3900350CC0038","1930","Ohio","39","Cuyahoga","035","CC","0038",,"Tract  CC0038     in Cleveland OH Area",,23,23,18,14,4,5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,7,8,0,3,2,0,0,0,1,0,0,23,5,17,1,0,0,0,0,1,1,0,1,1,1,0,0,4,3,7,1,0,0,0,0,0,2,23,19,16,2,1,1,28,0,0,0,0,0,1
"G3900350CC0039","1930","Ohio","39","Cuyahoga","035","CC","0039",,"Tract  CC0039     in Cleveland OH Area",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1889,0,0,0,1,0,0
